local_id: 218 || global_id: 218 || residential_pe: 0
local_id: 219 || global_id: 219 || residential_pe: 0
local_id: 220 || global_id: 220 || residential_pe: 0
local_id: 221 || global_id: 221 || residential_pe: 0
local_id: 222 || global_id: 222 || residential_pe: 0
local_id: 223 || global_id: 223 || residential_pe: 0
local_id: 224 || global_id: 224 || residential_pe: 0
local_id: 225 || global_id: 225 || residential_pe: 0
local_id: 226 || global_id: 226 || residential_pe: 0
local_id: 227 || global_id: 227 || residential_pe: 0
local_id: 228 || global_id: 228 || residential_pe: 0
local_id: 229 || global_id: 229 || residential_pe: 0
local_id: 230 || global_id: 230 || residential_pe: 0
local_id: 231 || global_id: 231 || residential_pe: 0
local_id: 232 || global_id: 232 || residential_pe: 0
local_id: 233 || global_id: 233 || residential_pe: 0
local_id: 234 || global_id: 234 || residential_pe: 0
local_id: 235 || global_id: 235 || residential_pe: 0
local_id: 236 || global_id: 236 || residential_pe: 0
local_id: 237 || global_id: 237 || residential_pe: 0
local_id: 238 || global_id: 238 || residential_pe: 0
local_id: 239 || global_id: 239 || residential_pe: 0
local_id: 240 || global_id: 240 || residential_pe: 0
local_id: 241 || global_id: 241 || residential_pe: 0
local_id: 242 || global_id: 242 || residential_pe: 0
local_id: 243 || global_id: 243 || residential_pe: 0
local_id: 244 || global_id: 244 || residential_pe: 0
local_id: 245 || global_id: 245 || residential_pe: 0
local_id: 246 || global_id: 246 || residential_pe: 0
local_id: 247 || global_id: 247 || residential_pe: 0
local_id: 248 || global_id: 248 || residential_pe: 0
local_id: 249 || global_id: 249 || residential_pe: 0
local_id: 250 || global_id: 250 || residential_pe: 0
local_id: 251 || global_id: 251 || residential_pe: 0
local_id: 252 || global_id: 252 || residential_pe: 0
local_id: 253 || global_id: 253 || residential_pe: 0
local_id: 254 || global_id: 254 || residential_pe: 0
local_id: 255 || global_id: 255 || residential_pe: 0
local_id: 256 || global_id: 256 || residential_pe: 0
local_id: 257 || global_id: 257 || residential_pe: 0
local_id: 258 || global_id: 258 || residential_pe: 0
local_id: 259 || global_id: 259 || residential_pe: 0
local_id: 260 || global_id: 260 || residential_pe: 0
local_id: 261 || global_id: 261 || residential_pe: 0
local_id: 262 || global_id: 262 || residential_pe: 0
local_id: 263 || global_id: 263 || residential_pe: 0
local_id: 264 || global_id: 264 || residential_pe: 0
local_id: 265 || global_id: 265 || residential_pe: 0
local_id: 266 || global_id: 266 || residential_pe: 0
local_id: 267 || global_id: 267 || residential_pe: 0
local_id: 268 || global_id: 268 || residential_pe: 0
local_id: 269 || global_id: 269 || residential_pe: 0
local_id: 270 || global_id: 270 || residential_pe: 0
local_id: 271 || global_id: 271 || residential_pe: 0
local_id: 272 || global_id: 272 || residential_pe: 0
local_id: 273 || global_id: 273 || residential_pe: 0
local_id: 274 || global_id: 274 || residential_pe: 0
local_id: 275 || global_id: 275 || residential_pe: 0
local_id: 276 || global_id: 276 || residential_pe: 0
local_id: 277 || global_id: 277 || residential_pe: 0
local_id: 278 || global_id: 278 || residential_pe: 0
local_id: 279 || global_id: 279 || residential_pe: 0
local_id: 280 || global_id: 280 || residential_pe: 0
local_id: 281 || global_id: 281 || residential_pe: 0
local_id: 282 || global_id: 282 || residential_pe: 0
local_id: 283 || global_id: 283 || residential_pe: 0
local_id: 284 || global_id: 284 || residential_pe: 0
local_id: 285 || global_id: 285 || residential_pe: 0
local_id: 286 || global_id: 286 || residential_pe: 0
local_id: 287 || global_id: 287 || residential_pe: 0
local_id: 288 || global_id: 288 || residential_pe: 0
local_id: 289 || global_id: 289 || residential_pe: 0
local_id: 290 || global_id: 290 || residential_pe: 0
local_id: 291 || global_id: 291 || residential_pe: 0
local_id: 292 || global_id: 292 || residential_pe: 0
local_id: 293 || global_id: 293 || residential_pe: 0
local_id: 294 || global_id: 294 || residential_pe: 0
local_id: 295 || global_id: 295 || residential_pe: 0
local_id: 296 || global_id: 296 || residential_pe: 0
local_id: 297 || global_id: 297 || residential_pe: 0
local_id: 298 || global_id: 298 || residential_pe: 0
local_id: 299 || global_id: 299 || residential_pe: 0
local_id: 300 || global_id: 300 || residential_pe: 0
local_id: 301 || global_id: 301 || residential_pe: 0
local_id: 302 || global_id: 302 || residential_pe: 0
local_id: 303 || global_id: 303 || residential_pe: 0
local_id: 304 || global_id: 304 || residential_pe: 0
